,Country,Deaths / million,Deaths,Cases
0,World[a],860,6862013,673765471
1,Peru,6441,219318,4484531
2,Bulgaria,5632,38202,1296164
3,Bosnia and Herzegovina,5030,16267,401527
4,Hungary,4889,48738,2194102
5,North Macedonia,4610,9653,346733
6,Georgia,4526,16950,1822045
7,Montenegro,4465,2800,287318
8,Croatia,4451,17940,1268501
9,Czech Republic,4037,42369,4599931
10,Slovakia,3719,20993,2663276
11,Moldova,3655,11964,600916
12,San Marino,3621,122,23521
13,Lithuania,3479,9570,1301374
14,Romania,3441,67650,3331005
15,Gibraltar,3396,111,20414
16,Latvia,3379,6255,975767
17,Greece,3348,34779,5548487
18,Slovenia,3333,7066,1325147
19,United States,3303,1117482,103121205
20,Chile,3267,64053,5146020
21,Brazil,3241,698018,36970513
22,United Kingdom,3235,218405,24341615
23,Italy,3181,187850,25547414
24,Armenia,3135,8719,446332
25,Ukraine,3000,119140,5692665
26,Poland,2981,118817,6398027
27,Paraguay,2927,19849,807453
28,Belgium,2888,33663,4708273
29,Argentina,2866,130448,10042136
30,Trinidad and Tobago,2832,4336,188511
31,Colombia,2743,142296,6356468
32,European Union[b],2691,1211778,183517637
33,Russia,2679,387762,21826514
34,Aruba,2648,282,44026
35,Mexico,2609,332695,7414918
36,Serbia,2584,17759,2483550
37,Portugal,2542,26117,5566708
38,Spain,2506,119186,13755956
39,Bermuda,2476,159,18791
40,Austria,2439,21807,5854661
41,France,2429,164781,39622140
42,Tunisia,2373,29326,1150606
43,Saint Lucia,2273,409,29882
44,Suriname,2265,1400,82227
45,Liechtenstein,2261,89,21387
46,Sweden,2240,23634,2697159
47,Uruguay,2225,7617,1033766
48,Estonia,2206,2926,614548
49,French Polynesia,2118,649,77957
50,Andorra,2066,165,47866
51,British Virgin Islands,2042,64,7305
52,Barbados,2034,573,106434
53,Bahamas,2031,833,37491
54,Germany,2006,167301,38002114
55,Ecuador,2000,36008,1056578
56,Lebanon,1969,10813,1230682
57,Panama,1950,8600,1030658
58,Grenada,1897,238,19680
59,Luxembourg,1874,1214,315778
60,Monaco,1836,67,16104
61,Bolivia,1829,22359,1191892
62,Montserrat,1812,8,1403
63,Kosovo,1798,3206,272809
64,Hong Kong,1793,13435,2876106
65,Costa Rica,1774,9195,1194584
66,Republic of Ireland,1717,8629,1702523
67,South Africa,1712,102595,4060349
68,Belize,1697,688,70721
69,Iran,1635,144793,7566265
70,Switzerland,1624,14202,4409828
71,Seychelles,1605,172,50665
72,Guyana,1604,1298,73052
73,Finland,1598,8859,1461583
74,Namibia,1593,4090,171059
75,Curaçao,1574,301,45986
76,Antigua and Barbuda,1556,146,9106
77,Malta,1548,826,117248
78,Caribbean Netherlands,1515,41,11797
79,Cyprus,1447,1297,647031
80,Denmark,1398,8228,3402118
81,Isle of Man,1372,116,38008
82,Canada,1329,51125,4590395
83,Netherlands,1314,23081,8600602
84,Israel,1296,12246,4793720
85,Albania,1265,3596,334291
86,Jordan,1251,14122,1746997
87,Jamaica,1237,3500,154065
88,Turkey,1189,101492,17042722
89,Eswatini,1184,1423,74158
90,Saint Vincent and the Grenadines,1183,123,9589
91,Guatemala,1129,20155,1233579
92,Malaysia,1088,36954,5040609
93,Palestine,1087,5708,703228
94,New Caledonia,1082,314,80007
95,Botswana,1064,2801,329595
96,Honduras,1064,11109,471557
97,Bahrain,1048,1544,700835
98,Dominica,1017,74,15760
99,Oman,1011,4628,399449
100,Kazakhstan,982,19068,1497449
101,Azerbaijan,975,10102,828320
102,Saint Kitts and Nevis,964,46,6596
103,Norway,952,5175,1478584
104,Fiji,949,883,68876
105,Libya,944,6437,507170
106,Turks and Caicos Islands,831,38,6551
107,Mauritius,803,1044,295161
108,Sri Lanka,770,16829,672018
109,Cuba,760,8530,1112541
110,Anguilla,755,12,3904
111,Belarus,746,7118,994037
112,Australia,735,19265,11347698
113,Taiwan,728,17397,9894283
114,Cabo Verde,696,413,63238
115,El Salvador,667,4230,201785
116,South Korea,653,33844,30419297
117,Mongolia,628,2136,1007895
118,Wallis and Futuna,603,7,3427
119,Kuwait,602,2570,662858
120,Maldives,593,311,185723
121,Indonesia,583,160884,6733912
